"BirdLife common name","BirdLife Scientific name","eBird Common Name","eBird Scientific Name"
"Helmeted Guineafowl","Numida meleagris","Helmeted Guineafowl","Numida meleagris"
"Northern Bobwhite","Colinus virginianus","Northern Bobwhite","Colinus virginianus"
"Western Capercaillie","Tetrao urogallus","Eurasian Capercaillie","Tetrao urogallus"
"Red-legged Partridge","Alectoris rufa","Red-legged Partridge","Alectoris rufa"
"Black Francolin","Francolinus francolinus","Black Francolin","Francolinus francolinus"
"Grey Partridge","Perdix perdix","Grey Partridge","Perdix perdix"
"Common Quail","Coturnix coturnix","Common Quail","Coturnix coturnix"
"Himalayan Monal","Lophophorus impejanus","Himalayan Monal","Lophophorus impejanus"
"Common Pheasant","Phasianus colchicus","Common Pheasant","Phasianus colchicus"
"Muscovy Duck","Cairina moschata","Muscovy Duck","Cairina moschata"
"Fulvous Whistling-duck","Dendrocygna bicolor","Fulvous Whistling-Duck","Dendrocygna bicolor"
"Pink-footed Goose","Anser brachyrhynchus","Pink-footed Goose","Anser brachyrhynchus"
"Bean Goose","Anser fabalis","Tundra Bean-Goose","Anser fabalis"
"Greater White-fronted Goose","Anser albifrons","Greater White-fronted Goose","Anser albifrons"
"Greylag Goose","Anser anser","Graylag Goose","Anser anser"
"Bar-headed Goose","Anser indicus","Bar-headed Goose","Anser indicus"
"Snow Goose","Chen caerulescens","Snow Goose","Chen caerulescens"
"Canada Goose","Branta canadensis","Canada Goose","Branta canadensis"
"Barnacle Goose","Branta leucopsis","Barnacle Goose","Branta leucopsis"
"Brent Goose (B. b. hrota)","Branta bernicla hrota","Brent Goose (Pale-bellied)","Branta bernicla hrota"
"Brent Goose (B. b. bernicla)","Branta bernicla bernicla","Brent Goose (Dark-bellied)","Branta bernicla bernicla"
"Brent Goose","Branta bernicla","Brent Goose","Branta bernicla"
"Mute Swan","Cygnus olor","Mute Swan","Cygnus olor"
"Whooper Swan","Cygnus cygnus","Whooper Swan","Cygnus cygnus"
"Black Swan","Cygnus atratus","Black Swan","Cygnus atratus"
"Egyptian goose","Alopochen aegyptiacus","Egyptian Goose","Alopochen aegyptiaca"
"Ruddy Shelduck","Tadorna ferruginea","Ruddy Shelduck","Tadorna ferruginea"
"Common Shelduck","Tadorna tadorna","Common Shelduck","Tadorna tadorna"
"Wood Duck","Aix sponsa","Wood Duck","Aix sponsa"
"Mandarin Duck","Aix galericulata","Gadwall","Anas strepera"
"Gadwall","Anas strepera","Gadwall","Anas strepera"
"Eurasian Wigeon","Anas penelope","Eurasian Wigeon","Anas penelope"
"American Wigeon","Anas americana","American Wigeon","Anas americana"
"Unidentified wigeon","Anas penelope / americana?","Eurasian/American Wigeon","Anas penelope/americana"
"American Black Duck","Anas rubripes","American Black Duck","Anas rubripes"
"Mallard","Anas platyrhynchos","Mallard","Anas platyrhynchos"
"Blue-winged Teal","Anas discors","Blue-winged Teal","Anas discors"
"Cinnamon Teal","Anas cyanoptera","Cinnamon Teal","Anas cyanoptera"
"Northern Shoveler","Anas clypeata","Northern Shoveler","Anas clypeata"
"Northern Pintail","Anas acuta","Northern Pintail","Anas acuta"
"Yellow-billed Pintail/Speckled Teal","Anas georgica","Yellow-billed Pintail","Anas georgica"
"Garganey","Anas querquedula","Garganey","Anas querquedula"
"Common Teal","Anas crecca","Green-winged Teal","Anas crecca"
"Green-winged Teal","Anas carolinensis","Green-winged Teal (American)","Anas carolinensis"
"Unidentified teal","Anas crecca / carolinensis","duck sp.","Anatidae sp."
"Marbled Teal","Marmaronetta angustirostris","Marbled Teal","Marmaronetta angustirostris"
"Red-crested Pochard","Netta rufina","Red-crested Pochard","Netta rufina"
"Common Pochard","Aythya ferina","Common Pochard","Aythya ferina"
"Ring-necked Duck","Aythya collaris","Ring-necked Duck","Aythya collaris"
"Ferruginous Duck","Aythya nyroca","Ferruginous Duck","Aythya nyroca"
"Tufted Duck","Aythya fuligula","Tufted Duck","Aythya fuligula"
"Greater Scaup","Aythya marila","Greater Scaup","Aythya marila"
"Lesser Scaup","Aythya affinis","Lesser Scaup","Aythya affinis"
"Common Eider","Somateria mollissima","Common Eider","Somateria mollissima"
"King Eider","Somateria spectabilis","King Eider","Somateria spectabilis"
"Black Scoter","Melanitta nigra","Common Scoter","Melanitta nigra"
"Surf Scoter","Melanitta perspicillata","Surf Scoter","Melanitta perspicillata"
"White-winged Scoter","Melanitta fusca","Velvet Scoter","Melanitta fusca"
"Long-tailed Duck","Clangula hyemalis","Long-tailed Duck","Clangula hyemalis"
"Common Goldeneye","Bucephala clangula","Common Goldeneye","Bucephala clangula"
"Bufflehead","Bucephala albeola","Bufflehead","Bucephala albeola"
"Hooded Merganser","Lophodytes cucullatus","Hooded Merganser","Lophodytes cucullatus"
"Red-breasted Merganser","Mergus serrator","Red-breasted Merganser","Mergus serrator"
"Common Merganser","Mergus merganser","Goosander","Mergus merganser"
"Ruddy Duck","Oxyura jamaicensis","Ruddy Duck","Oxyura jamaicensis"
"White-headed Duck","Oxyura leucocephala","White-headed Duck","Oxyura leucocephala"
"Red-throated Loon","Gavia stellata","Red-throated Diver","Gavia stellata"
"Arctic Loon","Gavia arctica","Black-throated Diver","Gavia arctica"
"Common Loon","Gavia immer","Great Northern Diver","Gavia immer"
"Loon / Diver (unidentified)","Gavia sp.","diver sp.","Gavia sp."
"Black-browed Albatross","Thalassarche melanophrys","Black-browed Albatross","Thalassarche melanophrys"
"Northern Fulmar","Fulmarus glacialis","Northern Fulmar","Fulmarus glacialis"
"Trindade Petrel","Pterodroma arminjoniana","Herald Petrel (Trindade)","Pterodroma arminjoniana arminjoniana"
"Fea's Petrel","Pterodroma feae","Fea's Petrel","Pterodroma feae"
"Zino's Petrel","Pterodroma madeira","Zino's Petrel","Pterodroma madeira"
"Fea's /  Zino's Petrel (unidentified)","Pterodroma feae / madeira","Zino's/Fea's Petrel","Pterodroma madeira/feae"
"Bermuda Petrel","Pterodroma cahow","Bermuda Petrel","Pterodroma cahow"
"Black-capped Petrel","Pterodroma hasitata","Black-capped Petrel","Pterodroma hasitata"
"Cory's Shearwater","Calonectris diomedea","Cory's Shearwater","Calonectris diomedea"
"Great Shearwater","Puffinus gravis","Great Shearwater","Puffinus gravis"
"Sooty Shearwater","Puffinus griseus","Sooty Shearwater","Puffinus griseus"
"Manx Shearwater (P. p. puffinus)","Puffinus puffinus puffinus","Manx Shearwater","Puffinus puffinus"
"Manx Shearwater","Puffinus puffinus","Manx Shearwater","Puffinus puffinus"
"Yelkouan Shearwater","Puffinus yelkouan","Levantine Shearwater","Puffinus yelkouan"
"Balearic Shearwater","Puffinus mauretanicus","Balearic Shearwater","Puffinus mauretanicus"
"Shearwater (unidentified)","Puffinus sp.","black-and-white shearwater sp.","Puffinus sp."
"Mascarene Shearwater","Puffinus baroli","Barolo Shearwater","Puffinus baroli"
"Little Shearwater","Puffinus assimilis","Little Shearwater","Puffinus assimilis"
"Bulwer's Petrel","Bulweria bulwerii","Bulwer's Petrel","Bulweria bulwerii"
"Wilson's Storm-petrel","Oceanites oceanicus","Wilson's Storm-Petrel","Oceanites oceanicus"
"White-faced Storm-petrel","Pelagodroma marina","White-faced Storm-Petrel","Pelagodroma marina"
"European Storm-petrel","Hydrobates pelagicus","European Storm-Petrel","Hydrobates pelagicus"
"Band-rumped Storm-petrel","Oceanodroma castro","Band-rumped Storm-Petrel","Oceanodroma castro"
"Swinhoe's Storm-petrel","Oceanodroma monorhis","Swinhoe's Storm-Petrel","Oceanodroma monorhis"
"Leach's Storm-petrel","Oceanodroma leucorhoa","Leach's Storm-Petrel","Oceanodroma leucorhoa"
"Storm-petrel (unidentified)","Oceanodroma castro / Hydrobates pelagicus","storm-petrel sp.","Hydrobatidae sp."
,,"Monteiro's Storm-Petrel","Oceanodroma monteiroi"
"Little Grebe","Tachybaptus ruficollis","Little Grebe","Tachybaptus ruficollis"
"Pied-billed Grebe","Podilymbus podiceps","Pied-billed Grebe","Podilymbus podiceps"
"Great Crested Grebe","Podiceps cristatus","Great Crested Grebe","Podiceps cristatus"
"Horned Grebe","Podiceps auritus","Horned Grebe","Podiceps auritus"
"Black-necked Grebe","Podiceps nigricollis","Eared Grebe","Podiceps nigricollis"
"Greater Flamingo","Phoenicopterus roseus","Greater Flamingo","Phoenicopterus roseus"
"Yellow-billed Stork","Mycteria ibis","Yellow-billed Stork","Mycteria ibis"
"Black Stork","Ciconia nigra","Black Stork","Ciconia nigra"
"White Stork","Ciconia ciconia","White Stork","Ciconia ciconia"
"Marabou Stork","Leptoptilos crumeniferus","Marabou Stork","Leptoptilos crumenifer"
"LC African Sacred Ibis","Threskiornis aethiopicus","Sacred Ibis","Threskiornis aethiopicus"
"Northern Bald Ibis","Geronticus eremita","Waldrapp","Geronticus eremita"
"Glossy Ibis","Plegadis falcinellus","Glossy Ibis","Plegadis falcinellus"
"Eurasian Spoonbill","Platalea leucorodia","Eurasian Spoonbill","Platalea leucorodia"
"American Bittern","Botaurus lentiginosus","American Bittern","Botaurus lentiginosus"
"Great Bittern","Botaurus stellaris","Great Bittern","Botaurus stellaris"
"Little Bittern","Ixobrychus minutus","Little Bittern","Ixobrychus minutus"
"Least Bittern","Ixobrychus exilis","Least Bittern","Ixobrychus exilis"
"Yellow-crowned Night-heron","Nyctanassa violacea","Yellow-crowned Night-Heron","Nyctanassa violacea"
"Black-crowned Night-heron","Nycticorax nycticorax","Black-crowned Night-Heron","Nycticorax nycticorax"
"Green Heron","Butorides virescens","Green Heron","Butorides virescens"
"Squacco Heron","Ardeola ralloides","Squacco Heron","Ardeola ralloides"
"Cattle Egret","Bubulcus ibis","Cattle Egret","Bubulcus ibis"
"Grey Heron","Ardea cinerea","Gray Heron","Ardea cinerea"
"Great Blue Heron","Ardea herodias","Great Blue Heron","Ardea herodias"
"Purple Heron","Ardea purpurea","Purple Heron","Ardea purpurea"
"European Great Egret","Casmerodius albus albus","Great Egret (Eurasian)","Ardea alba"
"American Great Egret","Casmerodius alba egretta","Great Egret (American)","Ardea alba egretta"
"Tricoloured Heron","Egretta tricolor","Tricolored Heron","Egretta tricolor"
"Little Blue Heron","Egretta caerulea","Little Blue Heron","Egretta caerulea"
"Little Egret","Egretta garzetta","Little Egret","Egretta garzetta"
"Western Reef-egret","Egretta gularis","Western Reef-Heron","Egretta gularis"
"Snowy Egret","Egretta thula","Snowy Egret","Egretta thula"
"Red-billed Tropicbird","Phaethon aethereus","Red-billed Tropicbird","Phaethon aethereus"
"White-tailed Tropicbird","Phaethon lepturus","White-tailed Tropicbird","Phaethon lepturus"
"Magnificent Frigatebird","Fregata magnificens","Magnificent Frigatebird","Fregata magnificens"
"Great White Pelican","Pelecanus onocrotalus","Great White Pelican","Pelecanus onocrotalus"
"Northern Gannet","Morus bassanus","Northern Gannet","Morus bassanus"
"Brown Booby","Sula leucogaster","Brown Booby","Sula leucogaster"
"Double-crested Cormorant","Phalacrocorax auritus","Double-crested Cormorant","Phalacrocorax auritus"
"Great Cormorant","Phalacrocorax carbo","Great Cormorant","Phalacrocorax carbo"
"European Shag","Phalacrocorax aristotelis","European Shag","Phalacrocorax aristotelis"
"Lesser Kestrel","Falco naumanni","Lesser Kestrel","Falco naumanni"
"Common Kestrel","Falco tinnunculus","Eurasian Kestrel","Falco tinnunculus"
"American Kestrel","Falco sparverius","American Kestrel","Falco sparverius"
"Red-footed Falcon","Falco vespertinus","Red-footed Falcon","Falco vespertinus"
"Eleonora's Falcon","Falco eleonorae","Eleonora's Falcon","Falco eleonorae"
"Merlin","Falco columbarius","Merlin","Falco columbarius"
"Eurasian Hobby","Falco subbuteo","Eurasian Hobby","Falco subbuteo"
"Peregrine Falcon","Falco peregrinus","Peregrine Falcon","Falco peregrinus"
"Barbary Falcon","Falco pelegrinoides","Barbary Falcon","Falco pelegrinoides"
"Osprey","Pandion haliaetus","Osprey","Pandion haliaetus"
"European Honey-buzzard","Pernis apivorus","European Honey-buzzard","Pernis apivorus"
"Black-winged Kite","Elanus caeruleus","Black-shouldered Kite","Elanus caeruleus"
"Red Kite","Milvus milvus","Red Kite","Milvus milvus"
"Black Kite","Milvus migrans","Black Kite","Milvus migrans"
"White-tailed Eagle","Haliaeetus albicilla","White-tailed Eagle","Haliaeetus albicilla"
"Lammergeier","Gypaetus barbatus","Lammergeier","Gypaetus barbatus"
"Egyptian Vulture","Neophron percnopterus","Egyptian Vulture","Neophron percnopterus"
"Rueppell's Griffon","Gyps rueppellii","Rueppell's Griffon","Gyps rueppellii"
"Eurasian Griffon","Gyps fulvus","Eurasian Griffon","Gyps fulvus"
"Cinereous Vulture","Aegypius monachus","Black Vulture","Aegypius monachus"
"Short-toed Snake-eagle","Circaetus gallicus","Short-toed Eagle","Circaetus gallicus"
"Western Marsh-harrier","Circus aeruginosus","Eurasian Marsh-Harrier","Circus aeruginosus"
"Northern Harrier","Circus cyaneus","Northern Harrier","Circus cyaneus"
"Montagu's Harrier","Circus pygargus","Montagu's Harrier","Circus pygargus"
"Pallid Harrier","Circus macrourus","Pallid Harrier","Circus macrourus"
"Eurasian Sparrowhawk","Accipiter nisus","Eurasian Sparrowhawk","Accipiter nisus"
"Northern Goshawk","Accipiter gentilis","Northern Goshawk","Accipiter gentilis"
"Common Buzzard","Buteo buteo","Common Buzzard","Buteo buteo"
"Common Buzzard (B. b. rothschildi)","Buteo buteo rothschildi","Common Buzzard (Azorean)","Buteo buteo rothschildi"
"Long-legged Buzzard","Buteo rufinus","Long-legged Buzzard","Buteo rufinus"
"Rough-legged Hawk","Buteo lagopus","Rough-legged Hawk","Buteo lagopus"
"Greater Spotted Eagle","Aquila clanga","Greater Spotted Eagle","Clanga clanga"
"Lesser Spotted Eagle","Aquila pomarina","Lesser Spotted Eagle","Clanga pomarina"
"Spanish Imperial Eagle","Aquila adalberti","Spanish Eagle","Aquila adalberti"
"Golden Eagle","Aquila chrysaetos","Golden Eagle","Aquila chrysaetos"
"Bonelli's Eagle","Hieraaetus fasciatus","Bonelli's Eagle","Aquila fasciata"
"Booted Eagle","Hieraaetus pennatus","Booted Eagle","Hieraaetus pennatus"
"Great Bustard","Otis tarda","Great Bustard","Otis tarda"
"Little Bustard","Tetrax tetrax","Little Bustard","Tetrax tetrax"
"Water Rail","Rallus aquaticus","Water Rail","Rallus aquaticus"
"Corncrake","Crex crex","Corn Crake","Crex crex"
"Black Crake","Amaurornis flavirostra","Black Crake","Amaurornis flavirostra"
"Little Crake","Porzana parva","Little Crake","Porzana parva"
"Baillon's Crake","Porzana pusilla","Baillon's Crake","Porzana pusilla"
"Spotted Crake","Porzana porzana","Spotted Crake","Porzana porzana"
"Sora","Porzana carolina","Sora","Porzana carolina"
"Purple Swamphen","Porphyrio porphyrio","Purple Swamphen","Porphyrio porphyrio"
"Allen's Gallinule","Porphyrio alleni","Allen's Gallinule","Porphyrio alleni"
"Yellow-legged/Purple Gallinule","Porphyrio martinica","Purple Gallinule","Porphyrio martinicus"
"Common Moorhen","Gallinula chloropus","Eurasian Moorhen","Gallinula chloropus"
"Red-knobbed Coot","Fulica cristata","Red-knobbed Coot","Fulica cristata"
"Common Coot","Fulica atra","Eurasian Coot","Fulica atra"
"American Coot","Fulica americana","American Coot","Fulica americana"
"Sandhill Crane","Grus canadensis","Sandhill Crane","Grus canadensis"
"Common Crane","Grus grus","Common Crane","Grus grus"
"Small Buttonquail","Turnix sylvaticus","Small Buttonquail","Turnix sylvaticus"
"Eurasian Thick-knee","Burhinus oedicnemus","Stone-curlew","Burhinus oedicnemus"
"Eurasian Oystercatcher","Haematopus ostralegus","Eurasian Oystercatcher","Haematopus ostralegus"
"African Oystercatcher","Haematopus moquini","African Oystercatcher","Haematopus moquini"
"Black-winged Stilt","Himantopus himantopus","Black-winged Stilt","Himantopus himantopus"
"Pied Avocet","Recurvirostra avosetta","Pied Avocet","Recurvirostra avosetta"
"Northern Lapwing","Vanellus vanellus","Northern Lapwing","Vanellus vanellus"
"Sociable Lapwing","Vanellus gregarius","Sociable Lapwing","Vanellus gregarius"
"Eurasian Golden-plover","Pluvialis apricaria","European Golden-Plover","Pluvialis apricaria"
"Pacific Golden-plover","Pluvialis fulva","Pacific Golden-Plover","Pluvialis fulva"
"American Golden-plover","Pluvialis dominica","American Golden-Plover","Pluvialis dominica"
"Grey Plover","Pluvialis squatarola","Black-bellied Plover","Pluvialis squatarola"
"Common Ringed Plover","Charadrius hiaticula","Common Ringed Plover","Charadrius hiaticula"
"Semipalmated Plover","Charadrius semipalmatus","Semipalmated Plover","Charadrius semipalmatus"
"Little Ringed Plover","Charadrius dubius","Little Ringed Plover","Charadrius dubius"
"Killdeer","Charadrius vociferus","Killdeer","Charadrius vociferus"
"Kentish Plover","Charadrius alexandrinus","Kentish Plover","Charadrius alexandrinus"
"Mongolian Plover","Charadrius mongolus","Lesser Sand-Plover","Charadrius mongolus"
"Eurasian Dotterel","Charadrius morinellus","Eurasian Dotterel","Charadrius morinellus"
"Calidris sp.","Calidris sp","small plover sp.","Calidris sp"
"Eurasian Woodcock","Scolopax rusticola","Eurasian Woodcock","Scolopax rusticola"
"Jack Snipe","Lymnocryptes minimus","Jack Snipe","Lymnocryptes minimus"
"Great Snipe","Gallinago media","Great Snipe","Gallinago media"
"Common Snipe","Gallinago gallinago","Common Snipe","Gallinago gallinago"
"Wilson's Snipe","Gallinago delicata","Wilson's Snipe","Gallinago delicata"
"Short-billed Dowitcher","Limnodromus griseus","Short-billed Dowitcher","Limnodromus griseus"
"Long-billed Dowitcher","Limnodromus scolopaceus","Long-billed Dowitcher","Limnodromus scolopaceus"
"Black-tailed Godwit","Limosa limosa","Black-tailed Godwit","Limosa limosa"
"Hudsonian Godwit","Limosa haemastica","Hudsonian Godwit","Limosa haemastica"
"Bar-tailed Godwit","Limosa lapponica","Bar-tailed Godwit","Limosa lapponica"
"Whimbrel","Numenius phaeopus","Whimbrel","Numenius phaeopus"
"Hudsonian Whimbrel","Numenius phaeopus hudsonicus","Whimbrel (American)","Numenius phaeopus hudsonicus"
"Slender-billed Curlew","Numenius tenuirostris","Slender-billed Curlew","Numenius tenuirostris"
"Eurasian Curlew","Numenius arquata","Eurasian Curlew","Numenius arquata"
"Upland Sandpiper","Bartramia longicauda","Upland Sandpiper","Bartramia longicauda"
"Spotted Redshank","Tringa erythropus","Spotted Redshank","Tringa erythropus"
"Common Redshank","Tringa totanus","Common Redshank","Tringa totanus"
"Marsh Sandpiper","Tringa stagnatilis","Marsh Sandpiper","Tringa stagnatilis"
"Common Greenshank","Tringa nebularia","Common Greenshank","Tringa nebularia"
"Greater Yellowlegs","Tringa melanoleuca","Greater Yellowlegs","Tringa melanoleuca"
"Lesser Yellowlegs","Tringa flavipes","Lesser Yellowlegs","Tringa flavipes"
"Solitary Sandpiper","Tringa solitaria","Solitary Sandpiper","Tringa solitaria"
"Green Sandpiper","Tringa ochropus","Green Sandpiper","Tringa ochropus"
"Wood Sandpiper","Tringa glareola","Wood Sandpiper","Tringa glareola"
"Terek Sandpiper","Xenus cinereus","Terek Sandpiper","Xenus cinereus"
"Common Sandpiper","Actitis hypoleucos","Common Sandpiper","Actitis hypoleucos"
"Spotted Sandpiper","Actitis macularius","Spotted Sandpiper","Actitis macularius"
"Willet","Catoptrophorus semipalmatus","Willet","Tringa semipalmata"
"Ruddy Turnstone","Arenaria interpres","Ruddy Turnstone","Arenaria interpres"
"Red Knot","Calidris canutus","Red Knot","Calidris canutus"
"Sanderling","Calidris alba","Sanderling","Calidris alba"
"Semipalmated Sandpiper","Calidris pusilla","Semipalmated Sandpiper","Calidris pusilla"
"Western Sandpiper","Calidris mauri","Western Sandpiper","Calidris mauri"
"Little Stint","Calidris minuta","Little Stint","Calidris minuta"
"Temminck's Stint","Calidris temminckii","Temminck's Stint","Calidris temminckii"
"Least Sandpiper","Calidris minutilla","White-rumped Sandpiper","Calidris fuscicollis"
"White-rumped Sandpiper","Calidris fuscicollis","White-rumped Sandpiper","Calidris fuscicollis"
"Baird's Sandpiper","Calidris bairdii","Baird's Sandpiper","Calidris bairdii"
"Pectoral Sandpiper","Calidris melanotos","Pectoral Sandpiper","Calidris melanotos"
"Sharp-tailed Sandpiper","Calidris acuminata","Sharp-tailed Sandpiper","Calidris acuminata"
"Purple Sandpiper","Calidris maritima","Purple Sandpiper","Calidris maritima"
"Dunlin","Calidris alpina","Dunlin","Calidris alpina"
"Curlew Sandpiper","Calidris ferruginea","Curlew Sandpiper","Calidris ferruginea"
"Stilt Sandpiper","Calidris himantopus","Stilt Sandpiper","Calidris himantopus"
"Broad-billed Sandpiper","Limicola falcinellus","Broad-billed Sandpiper","Limicola falcinellus"
"Buff-breasted Sandpiper","Tryngites subruficollis","Buff-breasted Sandpiper","Tryngites subruficollis"
"Ruff","Philomachus pugnax","Ruff","Philomachus pugnax"
"Wilson's Phalarope","Phalaropus tricolor","Wilson's Phalarope","Phalaropus tricolor"
"Red-necked Phalarope","Phalaropus lobatus","Red-necked Phalarope","Phalaropus lobatus"
"Grey Phalarope","Phalaropus fulicarius","Grey Phalarope","Phalaropus fulicarius"
"Cream-coloured Courser","Cursorius cursor","Cream-colored Courser","Cursorius cursor"
"Collared Pratincole","Glareola pratincola","Collared Pratincole","Glareola pratincola"
"Mew Gull","Larus canus","Mew Gull","Larus canus"
"Mew Gull (L. c. brachyrhynchus)","Larus canus brachyrhynchus","Mew Gull (American)","Larus canus brachyrhynchus"
"Audouin's Gull","Larus audouinii","Audouin's Gull","Ichthyaetus audouinii"
"Ring-billed Gull","Larus delawarensis","Ring-billed Gull","Larus delawarensis"
"Great Black-backed Gull","Larus marinus","Great Black-backed Gull","Larus marinus"
"Glaucous Gull","Larus hyperboreus","Glaucous Gull","Larus hyperboreus"
"Iceland Gull","Larus glaucoides","Iceland Gull","Larus glaucoides"
"Herring Gull","Larus argentatus","Herring Gull","Larus argentatus"
"Yellow-legged Gull (L. cachinnans)","Larus cachinnans","Caspian Gull","Larus cachinnans"
"Lesser Black-backed Gull","Larus fuscus","Lesser Black-backed Gull","Larus fuscus"
"Pallas's Gull/Great Black-headed Gull","Larus ichthyaetus","Pallas's Gull","Ichthyaetus ichthyaetus"
"Common Black-headed Gull","Larus ridibundus","Black-headed Gull","Chroicocephalus ridibundus"
"Slender-billed Gull","Larus genei","Slender-billed Gull","Chroicocephalus genei"
"Bonaparte's Gull","Larus philadelphia","Bonaparte's Gull","Chroicocephalus philadelphia"
"Mediterranean Gull","Larus melanocephalus","Mediterranean Gull","Ichthyaetus melanocephalus"
"Laughing Gull","Larus atricilla","Laughing Gull","Leucophaeus atricilla"
"Franklin's Gull","Larus pipixcan","Franklin's Gull","Leucophaeus pipixcan"
"Little Gull","Larus minutus","Little Gull","Hydrocoloeus minutus"
"Yellow-legged Gull (L. michahellis)","Larus michahellis","Yellow-legged Gull","Larus michahellis"
"Larus sp.","Larus sp.","Larus sp.","Larus sp."
"Sabine's Gull","Larus sabini","Sabine's Gull","Xema sabini"
"Black-legged Kittiwake","Rissa tridactyla","Black-legged Kittiwake","Rissa tridactyla"
"Gull-billed Tern","Sterna nilotica","Gull-billed Tern","Gelochelidon nilotica"
"Caspian Tern","Sterna caspia","Caspian Tern","Hydroprogne caspia"
"Royal Tern","Sterna maxima","Royal Tern","Thalasseus maximus"
"Lesser Crested-tern","Sterna bengalensis","Lesser Crested Tern","Thalasseus bengalensis"
"Sandwich Tern","Sterna sandvicensis","Sandwich Tern","Thalasseus sandvicensis"
"Roseate Tern","Sterna dougallii","Roseate Tern","Sterna dougallii"
"Common Tern","Sterna hirundo","Common Tern","Sterna hirundo"
"Common /  Arctic Tern (unidentified)","Sterna hirundo / paradisaea","Sterna sp.","Sterna sp."
"Arctic Tern","Sterna paradisaea","Arctic Tern","Sterna paradisaea"
"Forster's Tern","Sterna forsteri","Forster's Tern","Sterna forsteri"
"Little Tern","Sterna albifrons","Little Tern","Sternula albifrons"
"Bridled Tern","Sterna anaethetus","Bridled Tern","Onychoprion anaethetus"
"Sooty Tern","Sterna fuscata","Sooty Tern","Onychoprion fuscatus"
"Whiskered Tern","Chlidonias hybrida","Whiskered Tern","Chlidonias hybrida"
"White-winged Tern","Chlidonias leucopterus","White-winged Tern","Chlidonias leucopterus"
"Black Tern","Chlidonias niger","Black Tern","Chlidonias niger"
"Tern (unidentified)","Sterna sp","tern sp.","Sterninae sp."
"American Herring Gull","Larus smithsonianus","Herring Gull (American)","Larus argentatus smithsonianus"
"Great Skua","Stercorarius skua","Great Skua","Stercorarius skua"
"South Polar Skua","Catharacta maccormicki","South Polar Skua","Stercorarius maccormicki"
"Pomarine Jaeger","Stercorarius pomarinus","Pomarine Jaeger","Stercorarius pomarinus"
"Parasitic Jaeger","Stercorarius parasiticus","Parasitic Jaeger","Stercorarius parasiticus"
"Long-tailed Jaeger","Stercorarius longicaudus","Long-tailed Skua","Stercorarius longicaudus"
"Skua / Jaeger (unidentified)","Stercorarius sp.","jaeger/skua sp.","Stercorarius sp."
"Dovekie","Alle alle","Dovekie","Alle alle"
"Common Murre / Guillemot","Uria aalge","Common Guillemot","Uria aalge"
"Thick-billed Guillemot/Brünnich's Murre","Uria lomvia","Brünnich's Guillemot","Uria lomvia"
"Razorbill","Alca torda","Razorbill","Alca torda"
"Guillemot / Razorbill (unidentified)","Uria aalge / Alca torda","alcid sp.","Alcidae sp."
"Atlantic Puffin","Fratercula arctica","Atlantic Puffin","Fratercula arctica"
